topic_no,1979_prop,2019_prop,abs_change,abs_change_percent,overall_change,max_ascent_percent,max_descent_percent
77,0.010039535129970986,0.009152360050313908,-0.0008871750796570783,-8.836814336239513,0.008278858451298535,0.1246803496859968,0.12752260695574397
78,0.008970676973301178,0.009967239327712858,0.00099656235441168,11.109109796035256,0.006108739902600281,0.19466835218703651,0.08552183693352405
79,0.009378219756865981,0.008670012417759297,-0.0007082073391066843,-7.551618083892646,0.0046283028038235936,0.049840765618626236,0.11752333034793769
80,0.008784908442739426,0.00984373201325428,0.0010588235705148545,12.052755898554114,0.00524481298970652,0.20117470646649965,0.05457070036831127
81,0.010795274481492588,0.008977465277845618,-0.0018178092036469692,-16.83893454273368,0.006471224683924444,0.11780377963983497,0.19025896167743803
82,0.008491488296136078,0.008741919918370089,0.00025043162223401146,2.9492076477096076,0.006837442653948115,0.14173193178339502,0.07055858887363786
83,0.012290406395858964,0.009988248818258558,-0.002302157577600406,-18.731338114060065,0.007898117282070861,0.06432166349807916,0.19956878808861128
84,0.008501943608824815,0.011116992182738797,0.0026150485739139823,30.75824416430643,0.005396793731874289,0.3578035607813489,0.03698702860182866
85,0.009195388928452182,0.009273795658583503,7.840673013132134e-05,0.8526744299930247,0.004877291475258788,0.08250033079273936,0.1011190891223277
86,0.00848914033452473,0.01034419235739433,0.0018550520228695997,21.85205980545798,0.0058704514385948346,0.2790763200110911,0.06762679657001153
87,0.011456222865564148,0.00829922055601018,-0.0031570023095539683,-27.55709579501538,0.014965933918963701,0.3046582517449074,0.4108036495318743
88,0.009573577774113926,0.009382332554496173,-0.0001912452196177524,-1.9976358277974398,0.0043571921105492375,0.07602084121421501,0.05217850207961534
89,0.01004161220780993,0.00915331728171719,-0.0008882949260927402,-8.846138525463699,0.005254573846187259,0.09858273569080554,0.15360681483882851
90,0.008025484649408676,0.012463078642334112,0.004437593992925436,55.29378208021869,0.00946088155616583,0.6388543651190404,0.062114893256018905
91,0.008521332777158986,0.00993131956699441,0.0014099867898354247,16.546552361091038,0.007608426053677002,0.22256593172587036,0.07676420195992492
92,0.013649845048664991,0.010245958487910604,-0.0034038865607543874,-24.937180961532608,0.007189022484124388,0.042506929053877686,0.27599481771421275
93,0.008468406273668933,0.011187715063954209,0.0027193087902852766,32.111222612695194,0.007272210863099487,0.337915020689592,0.05634077072169517
94,0.008669214594461138,0.01072432295176689,0.0020551083573057526,23.70581942473526,0.007310956578315967,0.25537596509647414,0.07804283447001675
95,0.008759996047706442,0.008841128351166449,8.113230346000651e-05,0.9261682655809955,0.006943866092994919,0.09620402332765461,0.06392122296081858
96,0.009676996803081298,0.009636819170601546,-4.017763247975148e-05,-0.41518699755029714,0.005472256522323814,0.08489708593012513,0.07668015075900543
97,0.011050284393796248,0.009121548680471171,-0.001928735713325077,-17.454172622090073,0.006773375504598115,0.07955082399214863,0.18507423953274424
98,0.013312169228899157,0.008367616459614551,-0.004944552769284606,-37.14310330844174,0.007401567346287993,0.03714207539435253,0.38223008981355483
99,0.00907349291259087,0.011309456165642523,0.002235963253051653,24.642805968899907,0.005041774431551266,0.30513639096135386,0.05484628131122047
100,0.010515652543572111,0.01034041941896902,-0.00017523312460309207,-1.6664027636611727,0.008369665867163034,0.16388017761142584,0.17436661433891473
